model,mean,std,var,num_words_miss
all_data-cbow-d300-w6-e10.model,0.2454675114707891,0.2532574915527741,0.06413935702760346,644
data1-cbow-d300-w10-e15.model,0.23760628136222206,0.2972759239706608,0.08837297497261011,1422
data1-cbow-d300-w2-e15.model,0.3426961171267515,0.260668123160461,0.06794787043199728,1422
data2-skip_gram-d100-w6-e15.model,0.2638170342510759,0.28991323205467673,0.08404968212038884,1221
data2-cbow-d500-w8-e5.model,0.41901635625082284,0.3097687387500599,0.09595667150680284,1221
all_data-cbow-d300-w10-e10.model,0.21371648856654324,0.25265991174407476,0.06383703100252365,644
all_data-skip_gram-d100-w2-e5.model,0.5017375460011668,0.2364415996929041,0.05590463006533951,644
data1-cbow-d100-w10-e15.model,0.24430983387261845,0.305977559555499,0.09362226695153893,1422
data2-skip_gram-d500-w2-e10.model,0.4367988436029837,0.25103001589959706,0.06301606888255196,1221
data2-cbow-d300-w8-e15.model,0.23534218182768143,0.2842093108987629,0.08077493240154966,1221
data1-skip_gram-d300-w4-e5.model,0.5208872618742963,0.2853313692953723,0.08141399030397213,1422
all_data-cbow-d100-w10-e15.model,0.19334835775336745,0.2532431803520713,0.06413210839483169,644
data2-skip_gram-d100-w8-e5.model,0.42366135211739514,0.3066150416861545,0.09401278378820226,1221
data1-cbow-d300-w4-e15.model,0.2878736331639087,0.28561219376807384,0.08157432522901176,1422
data1-cbow-d100-w6-e5.model,0.4639563612314246,0.3055247909664837,0.09334539789511358,1422
data1-cbow-d500-w8-e15.model,0.2477423268624152,0.2951579674505161,0.08711822574951991,1422
data2-skip_gram-d100-w6-e10.model,0.3222432684184197,0.29685073052795047,0.08812035621497787,1221
data1-skip_gram-d500-w2-e5.model,0.6120521721155024,0.23810261817078623,0.056692856779783224,1422
data2-cbow-d500-w4-e15.model,0.2739894330717947,0.27431269825135407,0.07524745642193843,1221
data2-skip_gram-d100-w10-e15.model,0.23256930764440986,0.29310321368247405,0.08590949387099404,1221
data1-cbow-d300-w10-e5.model,0.39625413231886647,0.33073349267431557,0.10938464317655155,1422
all_data-cbow-d500-w2-e5.model,0.49973660096136063,0.23593637579548343,0.055665973423507584,644
data1-cbow-d100-w6-e15.model,0.27375304520663774,0.30115866257619506,0.0906965400446825,1422
data1-skip_gram-d100-w2-e10.model,0.45252111682100216,0.2604170824776044,0.06781705684614743,1422
data2-skip_gram-d500-w6-e5.model,0.45792293542634555,0.30029065863075466,0.09017447966089241,1221
data2-cbow-d100-w6-e15.model,0.26170981663528076,0.28963087073686067,0.08388604128379208,1221
all_data-cbow-d100-w6-e10.model,0.25843443626741064,0.2655784684580856,0.07053192290854236,644
all_data-skip_gram-d500-w4-e10.model,0.26990014338663637,0.24802146842116396,0.061514648797790436,644
data1-cbow-d300-w4-e10.model,0.3666398090237391,0.29626516957085475,0.08777305070084733,1422
data1-cbow-d100-w8-e5.model,0.42699119721990014,0.32336256514689016,0.10456334853837679,1422
data1-skip_gram-d100-w4-e5.model,0.5226641552815794,0.28317380408672077,0.08018740332094453,1422
data1-skip_gram-d500-w10-e10.model,0.28568888721931185,0.31489721139606186,0.09916025374501608,1422
all_data-cbow-d100-w8-e10.model,0.2402674470949713,0.2670669536595942,0.07132475773701584,644
data2-skip_gram-d100-w8-e10.model,0.29778366504498954,0.3025164408189305,0.09151619696575347,1221
all_data-cbow-d500-w8-e5.model,0.3278821100518095,0.2894067361023168,0.08375625890139606,644
all_data-cbow-d100-w10-e5.model,0.3105819762027847,0.29351508634888696,0.08615110591439457,644
data1-cbow-d500-w4-e10.model,0.3706888229679297,0.29364192375037085,0.0862255793838186,1422
data2-cbow-d100-w8-e5.model,0.42349969526221787,0.3075798928158065,0.09460539046458301,1221
data2-skip_gram-d100-w10-e10.model,0.2800449896836367,0.30554465223831356,0.09335753451143197,1221
data1-skip_gram-d300-w8-e5.model,0.4250892405051041,0.3224084114670524,0.10394718378470816,1422
all_data-cbow-d100-w6-e15.model,0.2220949833027469,0.25424252281163734,0.06463926040562594,644
data1-cbow-d300-w2-e10.model,0.4464952255980374,0.258165748416039,0.06664955365521354,1422
data1-skip_gram-d500-w8-e15.model,0.2465739285314276,0.2950752596999978,0.08706940888702117,1422
all_data-skip_gram-d300-w4-e15.model,0.21368449080548504,0.22912830058314734,0.052499778128121115,644
all_data-skip_gram-d300-w8-e15.model,0.18280669633660604,0.22965315417877857,0.052740571224261845,644
